corridor_id,corridor_name,direction,origin_lat,origin_lng,dest_lat,dest_lng,est_distance_km
10,Udyog Path: Dhanas ↔ ISBT Sector 17,B_to_A,30.7365,76.7774,30.7694,76.7524,5.4
11,Udyog Path: ISBT Sector 17 ↔ Elante Mall,A_to_B,30.7335,76.7797,30.7112,76.8008,3.2
11,Udyog Path: ISBT Sector 17 ↔ Elante Mall,B_to_A,30.7112,76.8008,30.7335,76.7797,3.5
12,Dakshin Marg: DLF Mullanpur ↔ Kisan Bhawan Chowk,A_to_B,30.7859,76.7560,30.7333,76.7629,6.7
12,Dakshin Marg: DLF Mullanpur ↔ Kisan Bhawan Chowk,B_to_A,30.7333,76.7629,30.7859,76.7560,6.9
13,Dakshin Marg: Kisan Bhawan Chowk ↔ Airport Chowk,A_to_B,30.7331,76.7631,30.6780,76.8084,7.9
13,Dakshin Marg: Kisan Bhawan Chowk ↔ Airport Chowk,B_to_A,30.6780,76.8084,30.7331,76.7631,8
14,NH 5: Max Hospital ↔ ISBT Sector 43,A_to_B,30.7436,76.7220,30.7128,76.7459,4.2
14,NH 5: Max Hospital ↔ ISBT Sector 43,B_to_A,30.7128,76.7459,30.7436,76.7220,4.4
15,Sukhna Path: Golf Club ↔ Cycle Chowk,A_to_B,30.7357,76.8119,30.6975,76.7509,7.4
15,Sukhna Path: Golf Club ↔ Cycle Chowk,B_to_A,30.6975,76.7509,30.7357,76.8119,7.3
16,Sarovar Path: Sukhna Lake ↔ Burail Jail,A_to_B,30.7440,76.8106,30.7032,76.7458,7.8
16,Sarovar Path: Sukhna Lake ↔ Burail Jail,B_to_A,30.7032,76.7458,30.7440,76.8106,7.8
17,Himalaya Marg: Rock Garden ↔ ISBT 43,A_to_B,30.7497,76.8057,30.7124,76.7458,7.2
17,Himalaya Marg: Rock Garden ↔ ISBT 43,B_to_A,30.7124,76.7458,30.7497,76.8057,7.3
18,Jan Marg: High Court ↔ ISBT 17,A_to_B,30.7560,76.8005,30.7400,76.7741,3.2
18,Jan Marg: High Court ↔ ISBT 17,B_to_A,30.7400,76.7741,30.7560,76.8005,3.1
19,Jan Marg: ISBT 17 ↔ ISBT 43,A_to_B,30.7394,76.7740,30.7190,76.7404,4.1
19,Jan Marg: ISBT 17 ↔ ISBT 43,B_to_A,30.7190,76.7404,30.7394,76.7740,4
20,Vidya Path: PGI Chowk ↔ Fountain Chowk,A_to_B,30.7590,76.7758,30.7307,76.7312,5.5
20,Vidya Path: PGI Chowk ↔ Fountain Chowk,B_to_A,30.7307,76.7312,30.7590,76.7758,5.5
21,Purv Marg: Tansport Chowk  ↔ Tribune Chowk,A_to_B,30.7180,76.8125,30.7040,76.7901,2.7
21,Purv Marg: Tansport Chowk  ↔ Tribune Chowk,B_to_A,30.7040,76.7901,30.7180,76.8125,2.8
22,Chandi Path: Sabzi Mandi Chowk  ↔ GMCH 32,A_to_B,30.7235,76.8067,30.7091,76.7837,3
22,Chandi Path: Sabzi Mandi Chowk  ↔ GMCH 32,B_to_A,30.7091,76.7837,30.7235,76.8067,2.9
23,Udyan Path: Secretariat Chowk  ↔ Furniture Chowk,A_to_B,30.7622,76.7953,30.7274,76.7338,7.3
23,Udyan Path: Secretariat Chowk  ↔ Furniture Chowk,B_to_A,30.7274,76.7338,30.7622,76.7953,7.2
24,Madhya Marg: Sector 17 ↔ Railway Station,A_to_B,30.7039,76.8191,30.7409,76.7908,5.4
24,Madhya Marg: Sector 17 ↔ Railway Station,B_to_A,30.7409,76.7908,30.7039,76.8191,5.4
25,Paschim Marg: Sector 25 ↔ Sector 56,A_to_B,30.7580,76.7600,30.7372,76.7266,3.9
25,Paschim Marg: Sector 25 ↔ Sector 56,B_to_A,30.7372,76.7266,30.7580,76.7600,4
